Day,covid helpline number
08-03-2020,0
09-03-2020,0
10-03-2020,6
11-03-2020,5
12-03-2020,15
13-03-2020,13
14-03-2020,14
15-03-2020,15
16-03-2020,16
17-03-2020,21
18-03-2020,43
19-03-2020,24
20-03-2020,37
21-03-2020,58
22-03-2020,70
23-03-2020,64
24-03-2020,50
25-03-2020,80
26-03-2020,86
27-03-2020,63
28-03-2020,91
29-03-2020,74
30-03-2020,100
31-03-2020,53
01-04-2020,65
02-04-2020,69
03-04-2020,49
04-04-2020,69
05-04-2020,36
06-04-2020,60
07-04-2020,59
08-04-2020,67
09-04-2020,80
10-04-2020,92
11-04-2020,79
12-04-2020,81
13-04-2020,71
14-04-2020,69
15-04-2020,57
16-04-2020,66
17-04-2020,54
18-04-2020,49
19-04-2020,84
20-04-2020,44
21-04-2020,69
22-04-2020,54
23-04-2020,75
24-04-2020,94
25-04-2020,63
26-04-2020,82
27-04-2020,94
28-04-2020,99
29-04-2020,87
